NB.SI;CATEGORIE;DESIGNATION;MATRICULE;DATE ENTREE;PANNE DECLAREE;SIT.ACTUELLE;PIECES;DATE SORTIE;INTERVENANT;AFFECTATION;NBR INDISPONIBILITE;JOUR OUVRABLE;RATIO;JOUR DISPONIBILITE;RATIO2; TYPE DE PANNE ;
00585-205-40/9;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;07/07/2025;passage de vitesses difficile;Réparée;réparation - tige levier de vitesses;09/07/2025;Tamrabet,A;PARC;3;22;0,14;19;86,36%;mécanique;
CB0600/6;MANITENTION;GRUE POTIN 01 (N° 57733) POTIN CB0600;CB0600;07/07/2025;roulement a bille défectueux;Réparée;remplacement - 02 roulement a billes (réf: 6210/6207) - démontage/montage de roulement a billes;17/07/2025;Derdouche,N;P,UNIVERSITE;9;22;0,41;13;59,09%;mécanique;
042-01532-40/7;ENGIN TERRASSEM;BULLDOZER CATERPILLAR 042-01532-40;042-01532-40;08/07/2025;panne électrique;Réparée;changement - 01 batterie;10/07/2025;Marir,R;PARC;3;22;0,14;19;86,36%;électrique;
00801-111-40/8;LEGER;HYUNDAI HYUNDAI ACCENT 00801-111-40;00801-111-40;08/07/2025;mauvais freinage;Réparée;remplacement - plaquette de frein AV;08/07/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02663-313-40/13;LEGER;PEUGEOT EXPERT 02663-313-40;02663-313-40;08/07/2025;chaine distribution;Réparée;remplacement - kit chaine distribution;08/07/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00160-509-40/11;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;08/07/2025;mauvais freinage;Réparée;remplacement - 02 roulement de roue - 02 joint d'étanchéité;10/07/2025;Tamrabet,A;PARC;3;22;0,14;19;86,36%;mécanique;
02184-512-40/12;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;09/07/2025;roue AV;Réparée;changement - 02 jante 22,5;10/07/2025;externe;PARC;2;22;0,09;20;90,91%;mécanique;
02184-512-40/13;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;10/07/2025;panne électrique;Réparée;réparation - circuit électrique;15/07/2025;Marir,R;PARC;4;22;0,18;18;81,82%;électrique;
00200-104-40/19;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;13/07/2025;problème de temperature moteur;Réparée;remplacement - vase d'eau - contacteur 12V;17/07/2025;Marir,R;MGX;5;22;0,23;17;77,27%;électrique;
00585-205-40/10;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;13/07/2025;passage de vitesse difficile;Réparée;remplacement - 01 volant moteur - 01 disque d'embrayage - 01 porte butée - roulement butée;01/08/2025;Gharib,med;PARC;15;22;0,68;7;31,82%;mécanique;
CB3270/2;;;CB3270;14/07/2025;problème électrique;Réparée;remplacement - Coupe-circuit;14/07/2025;Marir,R;P,MATERNITE;1;22;0,05;21;95,45%;électrique;
00101-300-40/12;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;15/07/2025;altérnateur défectueux;Réparée;remplacement - alternateur 12V - courroie alternateur 6pk1468 - câble accélérateur ;20/07/2025;Tamrabet,A;MGX;4;22;0,18;18;81,82%;mécanique;
042-330-40/9;ENGIN TERRASSEM;PELLE HD M318 CATERPILLAR 042-330-40;042-330-40;15/07/2025;fuite de l'huile hydraulique;Réparée;confection flexible hydraulique;15/07/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
01140-317-40/6;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;16/07/2025;courroie usée;Réparée;remplacement - courroie d'Alternateur (réf: 6pk 1070) - tendeur ;16/07/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02166-413-40/9;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;17/07/2025;mauvais fréinage;Réparée;réglage - garniture de frein AV;17/07/2025;Tamrabet,A;MGX;1;22;0,05;21;95,45%;mécanique;
02655-313-40/9;LEGER;MITSUBISHI L200 02655-313-40;02655-313-40;21/07/2025;alternateur défectueux;Réparée;réparation alternateur;23/07/2025;Marir,R;MGX;3;22;0,14;19;86,36%;électrique;
00111-505-40/8;TRANS/MARCHANDISE;TRACTER ROUTIER  MITSUBISHI 000935-505-16;00111-505-40;21/07/2025;fuite de liquide refroidissement;Réparée;remplacement durite d'eau;22/07/2025;Youcefi,S;PARC;2;22;0,09;20;90,91%;mécanique;
00934-309-40/7;LEGER;MITSUBISHI PICK UP 00934-309-40;00934-309-40;22/07/2025;palier central défectueux;Réparée;remplacement - palier central D35 - réglage culbuteur;22/07/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
002382-510-16/1;TRANS/MARCHANDISE;TRACTER ROUTIER TB400 SNVI 002382-510-16;002382-510-16;22/07/2025;passage de vitesse difficile;Réparée;remplacement de 02 batterie - réglage câbles levier de vitesse - réglage des feux AR;09/11/2025;Gharib,med;PARC;79;22;3,59;0;100%;mécanique;
03371-712-40/3;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M2 DAEWOO  000429-712-16;03371-712-40;23/07/2025;problème au niveau compresseur d'air;Réparée;nettoyage du clapet antiretour ;23/07/2025;Youcefi,S;CAB;1;22;0,05;21;95,45%;mécanique;
02184-512-40/14;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;23/07/2025;pneumatique;Réparée;changement - 02 pneu - changement de 02 jante AV;27/07/2025;externe;PARC;3;22;0,14;19;86,36%;autres;
01383-212-40/6;TRANS/MARCHANDISE;CAMION  PLATEAU DAEWOO  003784-212-16;01383-212-40;27/07/2025;pompette carburtant défectueuse;Réparée;changement - pompette carburant;27/07/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
01277-114-40/2;LEGER;TOYOTA COROLLA 01277-114-40;01277-114-40;27/07/2025;débryable alternateur défectueux;Réparée;réparation débrayable alternateur;27/07/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
02654-313-40/10;LEGER;MITSUBISHI L200 02654-313-40;02654-313-40;27/07/2025;fuite carburant (réservoir);Dépanné;réparation réservoir carburant;27/07/2025;Tamrabet,A;MGX;1;22;0,05;21;95,45%;mécanique;
01106-711-40/4;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M5 HYUNDAY 000330-711-16;01106-711-40;28/07/2025;mauvais freinage;Réparée;remplacement - membrane piston de frein;28/07/2025;Tamrabet,A;CAB;1;22;0,05;21;95,45%;mécanique;
02326-209-40/5;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M6 HYUNDAY 008003-209-16;02326-209-40;30/07/2025;mauvais freinage;Dépanné;remplacement - valve d'air comprimé;30/07/2025;Gharib,med;CAB;1;22;0,05;21;95,45%;mécanique;
01140-317-40/7;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;31/07/2025;bruit a l'avant du véhicule;Dépanné;tasseau défectueux;31/07/2025;Tamrabet,A;MGX;1;22;0,05;21;95,45%;mécanique;
01140-317-40/8;LEGER;VOLKSWAGEN  CADDY 01140-317-40;01140-317-40;15/08/2025;passage de vitesse difficile;Réparée;remplacement - pompe d'embrayage (Émetteur) -pompe d'embrayage (Récepteur);15/08/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
000956-214-16/7;TRANS/BENNE 40;CAMION PLATEAU DAEWOO PL02 DAEWOO  000956-214-16;000956-214-16;15/08/2025;le camion ne démarre pas;Réparée;démarreur remplacé;15/08/2025;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
042-01532-40/8;ENGIN TERRASSEM;BULLDOZER CATERPILLAR 042-01532-40;042-01532-40;15/08/2025;fuite de l'huile;Réparée;flexible hydraulique confectionné;05/09/2025;Abrouk,W;P,TINDOUF;15;22;0,68;7;31,82%;mécanique;
02161-413-40/7;TRANS/PERSONNEL;MINI BUS/01 MITSUBISHI 02166-413-40;02161-413-40;18/08/2025;consommation de l'huile;Réparée;révision moteur- Pompe à l’huile - Pompe à eau - Cale vilebrequin - Pochette de joint + joint culasse Refroidisseur - Kit embrayage - Buttée d’embrayage - Garniture de frein - Piston - Coussinet  - Segment - Réparation Bloc moteur (Tourneur) ;28/08/2025;Youcefi,S;MGX;9;22;0,41;13;59,09%;mécanique;
02184-512-40/15;TRANS/MARCHANDISE;TRACTER ROUTIER   6X4 DAEWOO  001637-512-16;02184-512-40;18/08/2025;verin cabine défectueux;Réparée;vérin cabine remplacé;18/08/2025;Djeridi,A;PARC;1;22;0,05;21;95,45%;mécanique;
00585-205-40/11;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;18/08/2025;passage de vitesse difficile;Réparée;mécanisme d'embrayage;18/08/2025;Djeridi,A;PARC;1;22;0,05;21;95,45%;mécanique;
00585-205-40/12;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;28/08/2025;déshuileur défectueux;Réparée;remplacement déshuileur;28/08/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
00160-509-40/12;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;31/08/2025;vérin cabine défectueux;Réparée;vérin cabine remplacé;31/08/2025;Tamrabet,A;PARC;1;22;0,05;21;95,45%;mécanique;
CB3283/6;TRANS/CHANTIER;DUMPER AURES L500 (CB3283) ENMTP CB3283;CB3283;02/09/2025;disque d'embrayage défectueux;En Cours;remplacement disque d'embrayage;En Cours;Youcefi,S;PARC;En cours;22;En cours;0;100%;mécanique;
00934-309-40/8;LEGER;MITSUBISHI PICK UP 00934-309-40;00934-309-40;02/09/2025;fuite de l'huile ;Réparée;Joint d’étanchéité;04/09/2025;Youcefi,S;MGX;3;22;0,14;19;86,36%;mécanique;
00101-300-40/13;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;02/09/2025;mauvais freinage;Réparée;02 tambour de frein rectifiés;03/09/2025;Tamrabet,A;MGX;2;22;0,09;20;90,91%;mécanique;
00586-205-40/6;TRANS/BENNE;CAMION A BENNE BN-09 DAEWOO  004020-205-16;00586-205-40;02/09/2025;réparation frein parking;Réparée;réparation frein parking;02/09/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
00790-213-40/6;TRANS/BENNE;CAMION A BENNE C260 6X3 BN-13 DAEWOO  003461-213-16;00790-213-40;03/09/2025;mauvais freinage;Réparée;remplacement 01 mâchoire de frein (AR);04/09/2025;Gharib,med;PARC;2;22;0,09;20;90,91%;mécanique;
042-01812-40/6;ENGIN TERRASSEM;PELLE SUR CHENILLE EC 350DL VOLVO 042-01812-40;042-01812-40;04/09/2025;dent de godet usées;Réparée;remplacement - 05 dents de godet - 05 clavettes;04/09/2025;;P,TINDOUF;1;22;0,05;21;95,45%;mécanique;
00200-104-40/20;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;04/09/2025;collecteur d'échappement usé;Réparée;soudure et réparation - collecteur échappement - réglage frein a main - remplacement 01 roulement de roue;11/09/2025;Sekakra,Dj;MGX;6;22;0,27;16;72,73%;mécanique;
00790-213-40/7;TRANS/BENNE;CAMION A BENNE C260 6X3 BN-13 DAEWOO  003461-213-16;00790-213-40;08/09/2025;batterie HS;Réparée;remplacement - 02 batterie 12V 92AH - 02 cosse - 20 BT Acide;09/09/2025;Marir,R;PARC;2;22;0,09;20;90,91%;électrique;
00801-111-40/9;LEGER;HYUNDAI HYUNDAI ACCENT 00801-111-40;00801-111-40;08/09/2025;vetilateur radiateur défectueux;Réparée;réparation - ventilateur radiateur - thermostat - kit chaine (543985) - FH;11/09/2025;Youcefi,S;MGX;4;22;0,18;18;81,82%;mécanique;
00100-203-40/4;TRANS/BENNE;CAMION A BENNE C260 4X2/01 SNVI 02164-203-16;00100-203-40;10/09/2025;passage de vitesses difficile;Réparée;réparation commande de vitesses;10/09/2025;Gharib,med;PARC;1;22;0,05;21;95,45%;mécanique;
02326-209-40/6;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M6 HYUNDAY 008003-209-16;02326-209-40;10/09/2025;mauvais freinage;Réparée;changement - valve de frein de stationnement - valve relais - piston de frein;22/09/2025;45923;CAB;9;22;0,41;13;59,09%;mécanique;
042-01210-40/10;ENGIN TERRASSEM;RETROCHARGEUR 428C CATERPILLAR 042-01210-40;042-01210-40;10/09/2025;l'engin ne démarre pas;En Cours;indéterminée;En Cours;Sekakra,Dj;PARC;En cours;22;En cours;0;100%;mécanique;
041-01296-40/7;ENGIN TERRASSEM;NIVELEUSE GD661 KOMATSU 041-01296-40;041-01296-40;14/09/2025;vérins de lame défectueux;Réparée;réparation/réglage - 02 vérins hydrauliques - rotule direction - frein AR réglé - feux AR remplacés ;14/10/2025;externe;PARC;23;22;1,05;0;100%;mécanique;
057665-119-16/14;LEGER;RENAULT SYMBOLE 057665-119-16;057665-119-16;15/09/2025;mauvais freinage;Réparée;remplacement - 02 mâchoire de frein - 02 tambour - 02 roulement de roue AR;18/09/2025;Youcefi,S;MGX;4;22;0,18;18;81,82%;mécanique;
CB1331/4;AIR COMPRIME;COMPRESSEUR M 57  KAESER CB1331;CB1331;15/09/2025;accouplement en caoutchouc ;En Cours;confection accouplement en caoutchouc;En Cours;externe;PARC;En cours;22;En cours;0;100%;mécanique;
00585-205-40/13;TRANS/BENNE;CAMION A BENNE BN-10 DAEWOO  004024-205-16;00585-205-40;15/09/2025;mauvais freinage;Dépanné;piston de frein;15/09/2025;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
04-1636-16/5;ENGIN TERRASSEM;RETRO CHARGEUR 422E CATERPILLAR 04-1636-16;04-1636-16;17/09/2025;axe de bras de godet usé;Réparée;remplacement - axe bras de godet;15/10/2025;Tamrabet,A;PARC;21;22;0,95;1;4,55%;mécanique;
000854-224-16/1;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M10 SCHACMAN 000854-224-16;000854-224-16;18/09/2025;déshuileur défectueux;Réparée;réparation déshuileur;22/09/2025;Sekakra,Dj;CAB;3;22;0,14;19;86,36%;mécanique;
00934-309-40/9;LEGER;MITSUBISHI PICK UP 00934-309-40;00934-309-40;22/09/2025;moteur HS;En Cours;révision moteur;En Cours;;MGX;En cours;22;En cours;0;100%;mécanique;
00160-509-40/13;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;23/09/2025;fuite de l'huile;Réparée;confection flexible;24/09/2025;Tamrabet,A;PARC;2;22;0,09;20;90,91%;mécanique;
03367-712-40/1;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M3 HYUNDAY 000431-712-16;03367-712-40;24/09/2025;câble d'accelerateur cassé;Réparée;câble d'accélérateur remplacé;24/09/2025;Youcefi,S;CAB;1;22;0,05;21;95,45%;mécanique;
02326-209-40/7;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M6 HYUNDAY 008003-209-16;02326-209-40;28/09/2025;propblème de freinage persistant;Réparée;remplacement - Valve de frein avec pédale;23/10/2025;Sekakra,Dj;CAB;20;22;0,91;2;9,09%;mécanique;
CB0604/4;MANITENTION;GRUE POTIN 02 (N° 58298) POTIN CB0604;CB0604;28/09/2025;axe cassé;Réparée;confection (tourneur) - axe de bras godet - bague en cuivre - bague en fer;02/10/2025;Derdouche,N;P,UNIVERSITE;5;22;0,23;17;77,27%;mécanique;
02041-112-40/9;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;28/09/2025;mauvais freinage;Réparée;remplacement - plaquette de frein;18/09/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00106-102-40/9;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;29/09/2025;bruit a l'avant du véhicule;Réparée;remplacement - 02 moyeu de roue - 02 roulement de roue - 02 rotule - kit plaquette de frein;03/10/2025;Youcefi,S;MGX;4;22;0,18;18;81,82%;mécanique;
00379-305-40/12;LEGER;MITSUBISHI PICK UP 00379-305-40;00379-305-40;01/10/2025;fuite de l'huile moteur;Réparée;remplacement - batterie 12V - filtre a air - flexible confectionné;01/10/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00160-509-40/14;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;01/10/2025;mauvais freinage;Réparée;valve de frein;02/10/2025;Sekakra,Dj;PARC;2;22;0,09;20;90,91%;mécanique;
01373-212-40/5;TRANS ET V, SPECIAUX  ;CAMION CITERNE 10,000 L DAEWOO  003792-212-16;01373-212-40;01/10/2025;passage de vitesse difficile;Réparée;pompe d'embrayage;02/10/2025;Abrouk,W;P,TINDOUF;2;22;0,09;20;90,91%;mécanique;
00378-105-40/9;LEGER;HONDA ACCORD 00378-105-40;00378-105-40;05/10/2025;mauvais freinage;Réparée; - huile de frein DOT3 - purge de circuit de huile de frein;05/10/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
00200-104-40/21;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;08/10/2025;mauvais freinage;Réparée;plaquette de frein;09/10/2025;Tamrabet,A;MGX;2;22;0,09;20;90,91%;mécanique;
03367-712-40/2;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M3 HYUNDAY 000431-712-16;03367-712-40;08/10/2025;mauvais freinage;Réparée;réglage de frein pneumatique;08/10/2025;Gharib,med;CAB;1;22;0,05;21;95,45%;autres;
01106-711-40/5;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M5 HYUNDAY 000330-711-16;01106-711-40;09/10/2025;problème électrique;Réparée;réglage - feu AR - Stop - voyant de betterie au tableau de bord (alternateur);09/10/2025;Marir,R;CAB;1;22;0,05;21;95,45%;électrique;
00101-300-40/14;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;14/10/2025;câble levier de vitesse défectueux;Réparée;remplacement - câble levier de vitesse;16/10/2025;Djeridi,A;MGX;3;22;0,14;19;86,36%;mécanique;
00101-300-40/15;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;22/10/2025;fuite de l'huile de frein;Réparée;remplacement - pompe de frein - huile de frein DOT3;23/10/2025;Djeridi,A;MGX;2;22;0,09;20;90,91%;mécanique;
041-01296-40/8;ENGIN TERRASSEM;NIVELEUSE GD661 KOMATSU 041-01296-40;041-01296-40;22/10/2025;mauvais freinage;Réparée;réglage de frein;22/10/2025;Sekakra,Dj;PARC;1;22;0,05;21;95,45%;mécanique;
03371-712-40/4;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M2 DAEWOO  000429-712-16;03371-712-40;23/10/2025;passage de vitesse deficile;En Cours;servo d'embrayage;En Cours;Sekakra,Dj;CAB;En cours;22;En cours;0;100%;mécanique;
02166-413-40/10;TRANS/PERSONNEL;MINI BUS/02 MITSUBISHI 02161-413-40;02166-413-40;26/10/2025;fuite de l'huile de frein;Réparée;ramplacement - cylindre de roue - joint SPI (réf: 46-102-10/16) - 02 pneu;27/10/2025;Sekakra,Dj;MGX;2;22;0,09;20;90,91%;autres;
CB0284/2;TRANSFOR BETON;CENTRALE A BETON EMC 38  ELBAMATI CB0284 CB0284;CB0284;26/10/2025;galets usés;Réparée;remplacement de - 02 galet (réf: 418.35-0565.2) - 02 galet (réf: 418.35-0567.2);26/10/2025;Lahouel,A;CAB;1;22;0,05;21;95,45%;mécanique;
00160-509-40/15;TRANS/MARCHANDISE;TRACTER ROUTIER  DAEWOO  002483-509-16;00160-509-40;26/10/2025;batterie HS;Réparée;remplacement - batterie 12V - 24 L Acide;26/10/2025;Marir,R;PARC;1;22;0,05;21;95,45%;électrique;
GEG PERKINS/1;OUTILLAGE DIVERS;GROUPE ELECTROGENE PERKINS GEG PERKINS;GEG PERKINS;26/10/2025;le groupe ne démarre pas - panne électrique;Réparée;remplacement de - 02 diodes - AVR ;09/11/2025;Hoggas,M;P,TINDOUF;11;22;0,5;11;50,00%;électrique;
00101-300-40/16;LEGER;PEUGEOT EXPERT 00101-300-40;00101-300-40;27/10/2025;mauvais freinage;Réparée;réglage de frein;27/10/2025;Djeridi,A;MGX;1;22;0,05;21;95,45%;mécanique;
01277-114-40/3;LEGER;TOYOTA COROLLA 01277-114-40;01277-114-40;02/11/2025;bruit a l'avant du véhicule;Réparée;remplacement de - roulement de roue AV;04/11/2025;Youcefi,S;MGX;3;22;0,14;19;86,36%;mécanique;
02041-112-40/10;LEGER;NISSAN SUNNY 02041-112-40;02041-112-40;02/11/2025;Suspenssion usée;En Cours;indéterminée;En Cours;Youcefi,S;MGX;En cours;22;En cours;0;100%;mécanique;
02177-209-40/7;TRANS ET V, SPECIAUX  ;CAMION MALAXEUR  M4 HYUNDAY 007993-209-16;02177-209-40;02/11/2025;courroies usées;Réparée;remplacement de - 03 courroie - 02 roulement pour tendeur;03/11/2025;Djeridi,A;CAB;2;22;0,09;20;90,91%;mécanique;
00106-102-40/10;LEGER;HYUNDAI ACCENT 00106-102-40;00106-102-40;09/11/2025;bruit a l'avant du véhicule;Réparée;remplacement de - roulement de roue AV;09/11/2025;Youcefi,S;MGX;1;22;0,05;21;95,45%;mécanique;
00151-106-40/16;LEGER;RENAULT KANGOO 00151-106-40;00151-106-40;10/11/2025;alternateur défectueux;Réparée;réparation alternateur;10/11/2025;Marir,R;MGX;1;22;0,05;21;95,45%;électrique;
00100-203-40/5;TRANS/BENNE;CAMION A BENNE C260 4X2/01 SNVI 02164-203-16;00100-203-40;10/11/2025;le camion ne démarre pas;En Cours;remplacement de - pompe carburant - filtre carburant - nettoyage reservoire carburant;En Cours;Gharib,med;PARC;En cours;22;En cours;0;100%;mécanique;
00200-104-40/22;LEGER;RENAULT CLIO 00200-104-40;00200-104-40;12/11/2025;bruit a l'avant du véhicule;Réparée;remplacement de - roulement de roue AV - réglage frein a main;13/11/2025;Youcefi,S;MGX;2;22;0,09;20;90,91%;mécanique;
00195-804-40/1;TRANS/BENNE.R;REMORQUE A BENNE 20T RMQ-02 SNVI 00195-804-40;00195-804-40;12/11/2025;mauvais freinage;En Cours;réglage de - garniture de frein - fuite de l'huile hydraulique - pneu;En Cours;Sekakra,Dj;PARC;En cours;22;En cours;0;100%;autres;
0/1;;;0;;;;;;;;;;;;;;
0/2;;;0;;;;;;;;;;;;;;
0/3;;;0;;;;;;;;;;;;;;
0/4;;;0;;;;;;;;;;;;;;
0/5;;;0;;;;;;;;;;;;;;
0/6;;;0;;;;;;;;;;;;;;
0/7;;;0;;;;;;;;;;;;;;
0/8;;;0;;;;;;;;;;;;;;
0/9;;;0;;;;;;;;;;;;;;
0/10;;;0;;;;;;;;;;;;;;
0/11;;;0;;;;;;;;;;;;;;
0/12;;;0;;;;;;;;;;;;;;
0/13;;;0;;;;;;;;;;;;;;
0/14;;;0;;;;;;;;;;;;;;
0/15;;;0;;;;;;;;;;;;;;
0/16;;;0;;;;;;;;;;;;;;
0/17;;;0;;;;;;;;;;;;;;
0/18;;;0;;;;;;;;;;;;;;
0/19;;;0;;;;;;;;;;;;;;
0/20;;;0;;;;;;;;;;;;;;
0/21;;;0;;;;;;;;;;;;;;
0/22;;;0;;;;;;;;;;;;;;
0/23;;;0;;;;;;;;;;;;;;
0/24;;;0;;;;;;;;;;;;;;
0/25;;;0;;;;;;;;;;;;;;
0/26;;;0;;;;;;;;;;;;;;
0/27;;;0;;;;;;;;;;;;;;
0/28;;;0;;;;;;;;;;;;;;
0/29;;;0;;;;;;;;;;;;;;
0/30;;;0;;;;;;;;;;;;;;
0/31;;;0;;;;;;;;;;;;;;
0/32;;;0;;;;;;;;;;;;;;
0/33;;;0;;;;;;;;;;;;;;
0/34;;;0;;;;;;;;;;;;;;
0/35;;;0;;;;;;;;;;;;;;
0/36;;;0;;;;;;;;;;;;;;
0/37;;;0;;;;;;;;;;;;;;
0/38;;;0;;;;;;;;;;;;;;
0/39;;;0;;;;;;;;;;;;;;
0/40;;;0;;;;;;;;;;;;;;
0/41;;;0;;;;;;;;;;;;;;
0/42;;;0;;;;;;;;;;;;;;
0/43;;;0;;;;;;;;;;;;;;
0/44;;;0;;;;;;;;;;;;;;
0/45;;;0;;;;;;;;;;;;;;
0/46;;;0;;;;;;;;;;;;;;
0/47;;;0;;;;;;;;;;;;;;
0/48;;;0;;;;;;;;;;;;;;
0/49;;;0;;;;;;;;;;;;;;
0/50;;;0;;;;;;;;;;;;;;
0/51;;;0;;;;;;;;;;;;;;
0/52;;;0;;;;;;;;;;;;;;
0/53;;;0;;;;;;;;;;;;;;
0/54;;;0;;;;;;;;;;;;;;
0/55;;;0;;;;;;;;;;;;;;
0/56;;;0;;;;;;;;;;;;;;
0/57;;;0;;;;;;;;;;;;;;
0/58;;;0;;;;;;;;;;;;;;
0/59;;;0;;;;;;;;;;;;;;
0/60;;;0;;;;;;;;;;;;;;
0/61;;;0;;;;;;;;;;;;;;
0/62;;;0;;;;;;;;;;;;;;
0/63;;;0;;;;;;;;;;;;;;
0/64;;;0;;;;;;;;;;;;;;
0/65;;;0;;;;;;;;;;;;;;
0/66;;;0;;;;;;;;;;;;;;
0/67;;;0;;;;;;;;;;;;;;
0/68;;;0;;;;;;;;;;;;;;
0/69;;;0;;;;;;;;;;;;;;
0/70;;;0;;;;;;;;;;;;;;
0/71;;;0;;;;;;;;;;;;;;
0/72;;;0;;;;;;;;;;;;;;
0/73;;;0;;;;;;;;;;;;;;
0/74;;;0;;;;;;;;;;;;;;
0/75;;;0;;;;;;;;;;;;;;
0/76;;;0;;;;;;;;;;;;;;
0/77;;;0;;;;;;;;;;;;;;
0/78;;;0;;;;;;;;;;;;;;
0/79;;;0;;;;;;;;;;;;;;
0/80;;;0;;;;;;;;;;;;;;
0/81;;;0;;;;;;;;;;;;;;
0/82;;;0;;;;;;;;;;;;;;
0/83;;;0;;;;;;;;;;;;;;
0/84;;;0;;;;;;;;;;;;;;
0/85;;;0;;;;;;;;;;;;;;
0/86;;;0;;;;;;;;;;;;;;
0/87;;;0;;;;;;;;;;;;;;
0/88;;;0;;;;;;;;;;;;;;
0/89;;;0;;;;;;;;;;;;;;
0/90;;;0;;;;;;;;;;;;;;
0/91;;;0;;;;;;;;;;;;;;
0/92;;;0;;;;;;;;;;;;;;
0/93;;;0;;;;;;;;;;;;;;
0/94;;;0;;;;;;;;;;;;;;
0/95;;;0;;;;;;;;;;;;;;
0/96;;;0;;;;;;;;;;;;;;
0/97;;;0;;;;;;;;;;;;;;
0/98;;;0;;;;;;;;;;;;;;
0/99;;;0;;;;;;;;;;;;;;
0/100;;;0;;;;;;;;;;;;;;
0/101;;;0;;;;;;;;;;;;;;
0/102;;;0;;;;;;;;;;;;;;
0/103;;;0;;;;;;;;;;;;;;
0/104;;;0;;;;;;;;;;;;;;
0/105;;;0;;;;;;;;;;;;;;
0/106;;;0;;;;;;;;;;;;;;
0/107;;;0;;;;;;;;;;;;;;
0/108;;;0;;;;;;;;;;;;;;
0/109;;;0;;;;;;;;;;;;;;
0/110;;;0;;;;;;;;;;;;;;
0/111;;;0;;;;;;;;;;;;;;
0/112;;;0;;;;;;;;;;;;;;
0/113;;;0;;;;;;;;;;;;;;
0/114;;;0;;;;;;;;;;;;;;
0/115;;;0;;;;;;;;;;;;;;
0/116;;;0;;;;;;;;;;;;;;
0/117;;;0;;;;;;;;;;;;;;
0/118;;;0;;;;;;;;;;;;;;
0/119;;;0;;;;;;;;;;;;;;
0/120;;;0;;;;;;;;;;;;;;
0/121;;;0;;;;;;;;;;;;;;
0/122;;;0;;;;;;;;;;;;;;
0/123;;;0;;;;;;;;;;;;;;
0/124;;;0;;;;;;;;;;;;;;
